Word,Meaning
woo,"
----------transitive verb----------
Meaning: Seek the favor, support, or custom of.
Example: pop stars are being wooed by film companies eager to sign them up

(seek the support of,seek the favour of,try to win,try to attract,try to cultivate,chase,pursue,try to ingratiate oneself with,curry favour with,)
----------transitive verb----------
Meaning: Try to gain the love of (someone), especially with a view to marriage.
Example: he wooed her with quotes from Shakespeare

(court,pay court to,pursue,chase,chase after,run after,)
"
wore,"
"
worn,"
----------verb----------
Meaning: past participle of wear

----------adjective----------
Meaning: Damaged and shabby as a result of much use.
Example: a worn, frayed denim jacket

(shabby,well worn,worn out,worn to shreds,threadbare,tattered,in tatters,in ribbons,in rags,in holes,holey,falling to pieces,falling apart at the seams,ragged,frayed,patched,moth-eaten,faded,seedy,shoddy,sorry,scruffy,dilapidated,crumbling,broken-down,run down,tumbledown,decrepit,deteriorated,on its last legs,having seen better days,time-worn,)
"
worse,"


"
worsen,"
----------verb----------
Meaning: Make or become worse.
Example: her condition worsened on the flight

(aggravate,exacerbate,make worse,compound,add to,intensify,increase,magnify,heighten,inflame,augment,)
"
wrangle,"
----------noun----------
Meaning: A dispute or argument, typically one that is long and complicated.
Example: an insurance wrangle is holding up compensation payments

(argument,dispute,disagreement,quarrel,row,fight,squabble,difference of opinion,altercation,angry exchange,war of words,shouting match,tiff,)

----------verb----------
Meaning: Have a long and complicated dispute.
Example: the bureaucrats continue wrangling over the fine print

(argue,quarrel,row,have a row,bicker,squabble,have words,debate,disagree,have a disagreement,have an altercation,be at odds,bandy words,)
"
wrangling,"
"
wreck,"
----------noun----------
Meaning: The destruction of a ship at sea; a shipwreck.

(destruction,sinking,wrecking,)
----------noun----------
Meaning: Something, especially a vehicle or building, that has been badly damaged or destroyed.
Example: the plane was reduced to a smouldering wreck

(wreckage,debris,detritus,remainder,)

----------transitive verb----------
Meaning: Destroy or severely damage (a structure, vehicle, or similar)

(demolish,crash,smash,smash up,ruin,damage,damage beyond repair,destroy,break up,dismantle,vandalize,deface,desecrate,sabotage,leave in ruins,)
----------transitive verb----------
Meaning: Cause the destruction of (a ship) by sinking or breaking up.

(shipwreck,sink,capsize,run aground,break up,)
"
writ,"
----------noun----------
Meaning: A form of written command in the name of a court or other legal authority to act, or abstain from acting, in some way.
Example: The applicant commenced proceedings in this Court for writs of mandamus, certiorari and injunctions.

(summons,subpoena,warrant,arraignment,indictment,court order,process,decree,)
"
wuss,"

----------intransitive verb----------
Meaning: Fail to do or complete something as a result of fear or lack of confidence.

(avoid,evade,dodge,escape from,run away from,balk at,flinch from,)
"
yacht,"
----------noun----------
Meaning: A medium-sized sailboat equipped for cruising or racing.

----------intransitive verb----------
Meaning: Race or cruise in a yacht.
Example: The only place Olga felt free was when the family yachted over to Fredensborg Palace in Denmark.

(yacht,boat,go sailing,)
"
yam,"
----------noun----------
Meaning: The edible starchy tuber of a climbing plant that is widely grown in tropical and subtropical countries.
----------noun----------
Meaning: The cultivated plant that yields the yam.
----------noun----------
Meaning: A sweet potato.
"
yarn,"
----------noun----------
Meaning: Spun thread used for knitting, weaving, or sewing.
Example: hanks of pale green yarn

(thread,cotton,wool,fibre,filament,strand,)
----------noun----------
Meaning: A long or rambling story, especially one that is implausible.

(story,tale,anecdote,fable,parable,traveller's tale,fairy story,rigmarole,saga,sketch,narrative,reminiscence,account,report,history,)

"
zebra,"
"
zinc,"
----------noun----------
Meaning: The chemical element of atomic number 30, a silvery-white metal that is a constituent of brass and is used for coating (galvanizing) iron and steel to protect against corrosion.Galvanized iron or steel, especially as the material of domestic utensils or corrugated roofs.

----------transitive verb----------
Meaning: Coat (iron) with zinc or a zinc compound to prevent rust.
"
zinger,"
"
zombie,"
"
zucchini,"
"
exponent,"
----------noun----------
Meaning: A person who believes in and promotes the truth or benefits of an idea or theory.
Example: an early exponent of the teachings of Thomas Aquinas

(advocate,supporter,proponent,upholder,backer,defender,champion,)
----------noun----------
Meaning: A quantity representing the power to which a given number or expression is to be raised, usually expressed as a raised symbol beside the number or expression (e.g. 3 in 2³ = 2 × 2 × 2).
----------noun----------
Meaning: A linguistic unit that realizes another, more abstract unit.
"
volunteers,"
----------noun----------
Meaning: A person who freely offers to take part in an enterprise or undertake a task.
Example: a call for volunteers to act as foster-parents

(subject,participant,case,client,patient,)
----------noun----------
Meaning: A person who works for an organization without being paid.

----------verb----------
Meaning: Freely offer to do something.
----------verb----------
Meaning: Work for an organization without being paid.
Example: volunteering is an easy way to get involved in practical conservation

(offer one's services,present oneself,step forward,come forward,make oneself available,)
"
cabling,"
----------noun----------
Meaning: A thick rope of wire or hemp used for construction, mooring ships, and towing vehicles.
Example: steel cables held the convoy together

(rope,cord,line,guy,piece of cordage,)
----------noun----------
Meaning: An insulated wire or wires having a protective casing and used for transmitting electricity or telecommunication signals.
Example: an underground cable

(wire,lead,cord,)

----------verb----------
Meaning: Send a message to (someone) by cablegram.
----------verb----------
Meaning: Provide (an area) with power lines or with the equipment necessary for cable television.
----------verb----------
Meaning: Decorate (a structure) with rope-shaped mouldings.
"
compress,"
----------transitive verb----------
Meaning: Flatten by pressure; squeeze or press.
Example: the skirt can be folded and compressed into a small bag

(flatten,)

----------noun----------
Meaning: A pad of absorbent material pressed onto part of the body to relieve inflammation or stop bleeding.
Example: a cold compress

(bandage,covering,gauze,lint,compress,ligature,swathe,poultice,salve,)
"
gauging,NULL
branch,"
----------noun----------
Meaning: A part of a tree which grows out from the trunk or from a bough.
Example: Sophie was in the branches of a tree eating an apple

(bough,limb,arm,offshoot,)

----------intransitive verb----------
Meaning: (of a road or path) divide into one or more subdivisions.

(fork,bifurcate,divide,subdivide,split,separate,go in different directions,)
----------intransitive verb----------
Meaning: (of a tree or plant) bear or send out branches.
"
ORGANISATION,"
----------noun----------
Meaning: An organized group of people with a particular purpose, such as a business or government department.
Example: a research organization

(company,firm,concern,operation,corporation,institution,group,establishment,consortium,conglomerate,combine,syndicate,body,agency,federation,confederation,alliance,coalition,association,movement,society,league,club,network,confederacy,)
----------noun----------
Meaning: The action of organizing something.
Example: the organization of conferences

(planning,arrangement,coordination,structuring,administration,organizing,running,management,logistics,)
"
asset,"
----------noun----------
Meaning: A useful or valuable thing, person, or quality.
Example: quick reflexes were his chief asset

(benefit,advantage,blessing,good point,strong point,strength,forte,talent,gift,strong suit,long suit,virtue,recommendation,attraction,attractive feature,selling point,resource,beauty,boon,value,merit,bonus,aid,help,)
"
Issuer,"
----------noun----------
Meaning: A person or company that supplies or distributes something.
"
Transaction,"
----------noun----------
Meaning: An instance of buying or selling something; a business deal.
Example: in an ordinary commercial transaction a delivery date is essential

(deal,business,agreement,undertaking,affair,arrangement,bargain,negotiation,treaty,contract,pact,compact,bond,settlement,)
"
prioritised,"
----------verb----------
Meaning: Designate or treat (something) as being very or most important.
Example: the department has failed to prioritize safety within the oil industry

(bring attention to,call attention to,draw attention to,focus attention on,highlight,point up,spotlight,foreground,play up,make a point of,)
"
ALLOTED,NULL
ASSESSMENT,"
----------noun----------
Meaning: The evaluation or estimation of the nature, quality, or ability of someone or something.
Example: the assessment of educational needs

(evaluation,judgement,gauging,rating,estimation,appraisal,opinion,analysis,)
"
